Forward Scatter Signal,Forward Scatter Pulse Width Signal,Side Scatter Signal,Side Fluorescence Signal,,,,,,,,,,,,,,,,,,,,,,Forward Scatter Signal,Forward Scatter Pulse Width Signal,Side Scatter Signal,Side Fluorescence Signal
268,76,532,204,,,,,,,,,,,,,,,,,,,,,,268,76,532,204
48,16,232,24,,,,,,,,,,,,,,,,,,,,,,48,16,232,24
44,12,208,28,,,,,,,,,,,,,,,,,,,,,,44,12,208,28
220,68,316,276,,,,,,,,,,,,,,,,,,,,,,220,68,316,276
304,80,624,236,,,,,,,,,,,,,,,,,,,,,,304,80,624,236
56,20,188,20,,,,,,,,,,,,,,,,,,,,,,56,20,188,20
44,8,148,16,,,,,,,,,,,,,,,,,,,,,,44,8,148,16
312,84,552,168,,,,,,,,,,,,,,,,,,,,,,312,84,552,168
220,64,288,56,,,,,,,,,,,,,,,,,,,,,,220,64,288,56
312,84,624,204,,,,,,,,,,,,,,,,,,,,,,312,84,624,204
204,68,444,312,,,,,,,,,,,,,,,,,,,,,,204,68,444,312
316,76,616,192,,,,,,,,,,,,,,,,,,,,,,316,76,616,192
328,80,608,216,,,,,,,,,,,,,,,,,,,,,,328,80,608,216
64,28,264,16,,,,,,,,,,,,,,,,,,,,,,64,28,264,16
104,44,272,32,,,,,,,,,,,,,,,,,,,,,,104,44,272,32
364,84,612,236,,,,,,,,,,,,,,,,,,,,,,364,84,612,236
160,60,256,244,,,,,,,,,,,,,,,,,,,,,,160,60,256,244
276,72,572,168,,,,,,,,,,,,,,,,,,,,,,276,72,572,168
328,76,596,192,,,,,,,,,,,,,,,,,,,,,,328,76,596,192
320,76,568,168,,,,,,,,,,,,,,,,,,,,,,320,76,568,168
84,36,212,20,,,,,,,,,,,,,,,,,,,,,,84,36,212,20
52,20,180,16,,,,,,,,,,,,,,,,,,,,,,52,20,180,16
72,32,168,16,,,,,,,,,,,,,,,,,,,,,,72,32,168,16
332,92,612,156,,,,,,,,,,,,,,,,,,,,,,332,92,612,156
352,88,612,396,,,,,,,,,,,,,,,,,,,,,,352,88,612,396
308,88,580,156,,,,,,,,,,,,,,,,,,,,,,308,88,580,156
216,64,284,244,,,,,,,,,,,,,,,,,,,,,,216,64,284,244
96,40,248,24,,,,,,,,,,,,,,,,,,,,,,96,40,248,24
280,76,532,152,,,,,,,,,,,,,,,,,,,,,,280,76,532,152
72,32,216,20,,,,,,,,,,,,,,,,,,,,,,72,32,216,20
328,80,508,180,,,,,,,,,,,,,,,,,,,,,,328,80,508,180
72,28,248,36,,,,,,,,,,,,,,,,,,,,,,72,28,248,36
336,80,572,172,,,,,,,,,,,,,,,,,,,,,,336,80,572,172
204,64,364,512,,,,,,,,,,,,,,,,,,,,,,204,64,364,512
296,80,580,208,,,,,,,,,,,,,,,,,,,,,,296,80,580,208
44,12,140,16,,,,,,,,,,,,,,,,,,,,,,44,12,140,16
236,72,548,136,,,,,,,,,,,,,,,,,,,,,,236,72,548,136
352,84,596,216,,,,,,,,,,,,,,,,,,,,,,352,84,596,216
284,80,564,192,,,,,,,,,,,,,,,,,,,,,,284,80,564,192
64,28,212,24,,,,,,,,,,,,,,,,,,,,,,64,28,212,24
168,72,436,512,,,,,,,,,,,,,,,,,,,,,,168,72,436,512
44,12,204,12,,,,,,,,,,,,,,,,,,,,,,44,12,204,12
48,16,140,16,,,,,,,,,,,,,,,,,,,,,,48,16,140,16
48,16,228,52,,,,,,,,,,,,,,,,,,,,,,48,16,228,52
300,124,608,220,,,,,,,,,,,,,,,,,,,,,,300,124,608,220
56,24,160,24,,,,,,,,,,,,,,,,,,,,,,56,24,160,24
220,64,280,332,,,,,,,,,,,,,,,,,,,,,,220,64,280,332
148,64,464,448,,,,,,,,,,,,,,,,,,,,,,148,64,464,448
44,12,164,8,,,,,,,,,,,,,,,,,,,,,,44,12,164,8
348,80,560,180,,,,,,,,,,,,,,,,,,,,,,348,80,560,180
312,88,576,192,,,,,,,,,,,,,,,,,,,,,,312,88,576,192
360,88,560,184,,,,,,,,,,,,,,,,,,,,,,360,88,560,184
68,28,200,28,,,,,,,,,,,,,,,,,,,,,,68,28,200,28
340,80,612,244,,,,,,,,,,,,,,,,,,,,,,340,80,612,244
44,12,160,24,,,,,,,,,,,,,,,,,,,,,,44,12,160,24
44,8,100,24,,,,,,,,,,,,,,,,,,,,,,44,8,100,24
100,44,244,24,,,,,,,,,,,,,,,,,,,,,,100,44,244,24
64,24,172,16,,,,,,,,,,,,,,,,,,,,,,64,24,172,16
352,84,632,204,,,,,,,,,,,,,,,,,,,,,,352,84,632,204
72,32,188,28,,,,,,,,,,,,,,,,,,,,,,72,32,188,28
356,84,596,248,,,,,,,,,,,,,,,,,,,,,,356,84,596,248
56,20,176,16,,,,,,,,,,,,,,,,,,,,,,56,20,176,16
64,28,192,20,,,,,,,,,,,,,,,,,,,,,,64,28,192,20
116,56,336,96,,,,,,,,,,,,,,,,,,,,,,116,56,336,96
256,80,572,148,,,,,,,,,,,,,,,,,,,,,,256,80,572,148
312,80,644,216,,,,,,,,,,,,,,,,,,,,,,312,80,644,216
64,28,132,16,,,,,,,,,,,,,,,,,,,,,,64,28,132,16
92,40,300,32,,,,,,,,,,,,,,,,,,,,,,92,40,300,32
56,24,224,20,,,,,,,,,,,,,,,,,,,,,,56,24,224,20
52,16,180,16,,,,,,,,,,,,,,,,,,,,,,52,16,180,16
292,80,492,132,,,,,,,,,,,,,,,,,,,,,,292,80,492,132
88,40,280,24,,,,,,,,,,,,,,,,,,,,,,88,40,280,24
188,64,312,340,,,,,,,,,,,,,,,,,,,,,,188,64,312,340
328,84,612,176,,,,,,,,,,,,,,,,,,,,,,328,84,612,176
244,72,532,152,,,,,,,,,,,,,,,,,,,,,,244,72,532,152
44,8,140,12,,,,,,,,,,,,,,,,,,,,,,44,8,140,12
380,88,604,224,,,,,,,,,,,,,,,,,,,,,,380,88,604,224
48,12,216,12,,,,,,,,,,,,,,,,,,,,,,48,12,216,12
