Forward Scatter Signal,Forward Scatter Pulse Width Signal,Side Scatter Signal,Side Fluorescence Signal
188,64,224,220
156,60,292,284
156,56,280,204
188,64,252,212
296,76,508,152
192,64,452,272
148,64,356,144
204,68,396,280
52,20,188,12
196,64,268,220
148,56,256,216
348,80,516,172
276,80,548,168
216,68,212,212
152,56,248,248
296,76,604,196
276,72,556,144
380,88,744,124
324,76,500,164
256,72,528,156
276,76,548,192
308,80,532,160
64,28,192,20
148,56,188,184
208,64,288,284
340,76,516,188
388,80,576,172
188,64,272,208
136,56,240,224
204,68,400,316
228,68,316,284
364,84,576,184
324,76,588,204
352,88,568,192
216,76,536,196
348,92,632,396
56,20,280,0
160,60,188,204
204,60,412,20
44,8,148,8
196,64,364,264
292,76,580,160
112,44,312,0
196,64,288,264
396,92,764,144
188,64,288,220
188,64,248,196
252,72,392,368
196,60,236,244
164,60,208,176
372,84,616,184
196,64,232,228
328,80,544,164
48,16,316,0
224,72,536,152
176,60,232,260
368,84,620,208
340,80,556,152
176,64,292,192
180,64,196,192
208,68,392,192
284,72,284,268
360,80,548,192
300,80,564,164
344,80,496,160
240,92,420,312
140,56,272,252
244,72,508,176
264,72,524,192
264,72,520,160
288,72,576,172
224,68,268,188
324,80,584,192
184,64,280,212
160,64,304,216
196,60,288,268
48,16,188,12
232,72,404,20
224,64,312,292
184,60,248,224
148,60,268,228
160,60,292,252
188,60,340,292
280,72,528,160
228,68,396,348
172,60,268,240
280,72,204,0
200,64,320,292
284,80,512,148
196,64,280,240
340,76,592,200
316,80,516,156
44,8,188,8
152,56,284,220
412,84,756,116
152,60,248,256
156,60,288,200
192,64,264,236
376,88,532,148
284,80,576,164
376,80,588,196
300,76,496,144
308,76,544,160
164,60,208,208
176,60,256,212
208,68,308,328
376,88,644,240
232,68,296,304
180,64,220,244
196,64,256,256
180,64,252,208
192,64,320,308
180,60,232,216
288,84,600,184
212,64,216,196
204,64,300,244
44,12,232,16
384,100,696,60
164,60,324,260
300,80,544,180
192,64,252,204
384,84,596,212
212,56,436,4
184,60,256,260
200,68,552,160
380,80,596,184
196,64,276,236
172,60,292,236
312,76,556,156
276,76,660,104
300,84,568,192
188,60,252,200
180,68,480,456
48,16,228,28
184,60,248,240
172,60,216,176
44,12,132,8
236,72,540,164
164,60,252,196
208,68,424,420
152,60,248,252
68,32,152,24
212,72,412,336
196,60,276,236
320,76,508,176
72,32,184,12
364,88,624,204
304,80,552,176
68,32,208,24
192,64,292,308
60,32,468,16
156,60,272,248
368,80,532,172
120,52,448,96
172,60,284,308
192,64,240,244
44,12,152,16
372,84,548,164
148,56,276,64
356,80,556,172
48,16,168,24
60,28,188,24
304,80,532,152
184,64,284,200
192,64,396,352
44,12,156,12
108,44,284,32
164,60,328,280
164,60,300,300
192,64,312,312
176,60,260,220
308,88,584,160
208,68,304,228
204,68,352,388
236,76,428,380
200,64,304,220
232,84,376,408
328,76,508,172
312,76,512,200
180,64,280,232
236,68,396,280
280,76,600,176
48,12,200,24
336,80,536,160
44,8,200,0
328,80,584,172
176,64,316,240
180,64,232,184
44,8,128,12
164,60,332,304
152,56,252,216
384,84,556,188
224,68,256,220
192,64,248,208
112,48,284,20
276,80,572,168
312,80,552,160
308,80,568,180
304,76,568,156
160,60,296,224
364,80,560,184
72,32,196,16
196,64,264,220
308,76,544,148
164,60,172,156
292,72,512,160
176,60,256,192
208,68,296,224
84,36,460,0
240,72,440,608
192,68,444,488
144,56,332,340
212,64,296,300
244,76,432,404
204,68,292,324
212,68,244,240
316,80,616,188
292,80,560,196
104,44,196,24
48,12,168,20
176,68,352,232
60,24,228,16
336,84,568,172
200,60,188,168
308,80,548,196
176,64,296,300
76,36,252,16
400,88,600,188
316,80,584,176
368,84,724,132
52,20,192,12
56,24,112,12
48,16,284,4
152,56,332,244
172,64,280,172
132,56,248,248
76,32,264,16
164,60,340,324
64,28,168,16
236,80,516,144
44,12,140,16
316,76,532,164
44,8,188,8
296,80,540,180
320,76,564,180
312,80,596,176
200,64,296,296
288,72,584,164
396,84,604,204
244,76,456,396
280,76,524,160
200,64,264,220
164,60,324,280
376,88,576,168
204,60,252,208
56,20,96,12
196,64,276,224
44,12,216,16
208,64,228,152
48,16,148,8
224,68,300,292
72,28,224,28
88,32,336,0
156,60,296,224
324,80,548,152
324,80,572,196
88,40,220,28
364,80,560,164
244,68,532,156
268,76,724,100
284,80,484,148
192,64,264,192
88,40,176,12
380,80,604,188
268,80,352,52
164,60,284,232
336,80,556,200
356,84,576,196
328,80,580,160
192,64,304,212
196,64,256,220
260,76,636,104
352,80,544,196
312,80,600,180
